id_unico,nome,cep,descricao,funcao_social,data_inicial_prevista,data_final_prevista,data_cadastro,especie,natureza,situacao,uf,is_modelada_por_bim,data_situacao,executor_nome,eixo_descricao,tipo_descricao,subtipo_descricao,origem_recurso,valor_total_previsto
3819.53-95,Cobertura da quadra poliesportiva,70.800-120,Cobertura da quadra poliesportiva utilizada pelos beneficiários do PROFESP,Melhoria das condições de uso,2021-09-15,2021-11-01,2021-09-10,Ampliação,Obra,Em execução,DF,,2021-09-14,COMANDO DA MARINHA,Militar,Educação,Educação,Federal,250000.0
8421.53-89,Reforma no acesso da pista de atletismo,,Reforma do acesso à pista de atletismo com reforço na fundação,Atividades dos militares e beneficiários do PROFESP,2022-09-30,2022-10-14,2022-09-27,Reforma,Obra,Em execução,DF,False,2022-09-30,COMANDO DA MARINHA,Social,Esporte,Urbanização,Federal,17400.0
12603.53-08,Reforma da arquibancada e pintura da pista de atletismo,70800-120,Reforma da arquibancada e pintura da pista de atletismo,PROFESP,2022-11-17,2022-12-09,2022-11-10,Reforma,Obra,Em execução,DF,False,2022-11-23,COMANDO DA MARINHA,Social,Educação,Educação,Federal,75657.05
21333.53-86,"Conclusão dos mezaninos dos campi CSAM, CSSB e CTAG do IFB",70.070-906,"Conclusão dos mezaninos do Campus Samambaia com 427,91m², do campus São Sebastião com 539,00 m² e do Campus Taguatinga com 444,66m². Trata-se dos serviços de execução de escada, finalização dos banheiros, piso, paredes e esquadrias, além de forro, guarda-corpo e acessórios. ",atender a comunidade acadêmica dos Campi contemplados principalmente nas áreas de laboratórios de práticas de ensino,2023-08-01,2024-03-31,2023-04-14,Reforma,Obra,Cadastrada,DF,False,2023-04-14,INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA,Social,Educação,Educação,Federal,2500000.0
21335.53-99,Reforma do Centro de Múltiplas Funções do Campus São Sebastião,71.697-040,"Reforma do prédio de múltiplas funções do campus São Sebastião que compreende uma área de 523 m². A reforma compreenderá o telhado, a troca de uma viga que foi quebrada com a queda de uma área e ajustes no piso, instalações elétricas e hidráulicas. ",melhorar a qualidade do ensino na unidade através de laboratórios e salas ludos,2023-12-01,2024-07-31,2023-04-14,Reforma,Obra,Cadastrada,DF,False,2023-04-14,INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA,Social,Educação,Educação,Federal,1000000.0
21339.53-04,Substituição do sistema de impermeabilização nas edificações do Campus Brasília,70.830-450,"substituição de todo o sistema de impermeabilização dos blocos do campus Brasília que foram concebidos para terem telhado verde. A impermeabilização garante uma edificação segura, estanque e sem patologias decorrentes de entrada de águas em todos os tipos de estruturas.","atender a comunidade acadêmica do Campus Brasília principalmente em conforto e qualidade de ensino, pesquisa e extensão",2023-07-01,2023-12-31,2023-04-14,Recuperação,Obra,Cadastrada,DF,False,2023-04-14,INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA,Social,Educação,Educação,Federal,1000000.0
21341.53-30,Substituição do sistema de impermeabilização nas edificações do Campus Gama,72.429-005,"substituição de todo o sistema de impermeabilização dos blocos do campus Gama que foram concebidos para terem telhado verde. A impermeabilização garante uma edificação segura, estanque e sem patologias decorrentes de entrada de águas em todos os tipos de estruturas.","atender a comunidade acadêmica do Campus Gama principalmente em conforto e qualidade de ensino, pesquisa e extensão",2023-07-01,2023-12-31,2023-04-14,Recuperação,Obra,Cadastrada,DF,False,2023-04-14,INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA,Social,Educação,Educação,Federal,1000000.0
21342.53-97,Substituição do sistema de impermeabilização nas edificações do Campus Samambaia,72.304-300,"substituição de todo o sistema de impermeabilização dos blocos do campus Samambaia que foram concebidos para terem telhado verde. A impermeabilização garante uma edificação segura, estanque e sem patologias decorrentes de entrada de águas em todos os tipos de estruturas.","atender a comunidade acadêmica do Campus Samambaia principalmente em conforto e qualidade de ensino, pesquisa e extensão",2023-07-01,2023-12-31,2023-04-14,Recuperação,Obra,Cadastrada,DF,False,2023-04-14,INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA,Social,Educação,Educação,Federal,1000000.0
21345.53-56,Substituição do sistema de impermeabilização nas edificações do Campus Taguatinga,72.146-000,"substituição de todo o sistema de impermeabilização dos blocos do campus Taguatinga que foram concebidos para terem telhado verde. A impermeabilização garante uma edificação segura, estanque e sem patologias decorrentes de entrada de águas em todos os tipos de estruturas.","atender a comunidade acadêmica do Campus Taguatinga principalmente em conforto e qualidade de ensino, pesquisa e extensão",2023-07-01,2023-12-31,2023-04-14,Recuperação,Obra,Cadastrada,DF,False,2023-04-14,INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA,Social,Educação,Educação,Federal,1000000.0
8913.53-40,Reforma hidráulica da psicina,,Reforma hidráulica da piscina para utilização pelos beneficiários do PROFESP,Reforma hidráulica da piscina para utilização pelos beneficiários do PROFESP,2022-10-10,2022-11-04,2022-10-03,Reforma,Obra,Em execução,DF,False,2022-10-10,COMANDO DA MARINHA,Social,Esporte,Centro Olímpico e Para-Olímpico,Federal,17500.0
2729.53-94,Ampliação e Reforma do Hospital Naval de Brasília,1,"CONTRATAÇÃO INTEGRADA de empresa especializada em construção civil para realizar a prestação de serviços de REFORMA E AMPLIAÇÃO DO HOSPITAL NAVAL DE BRASÍLIA – HNBra, incluindo a elaboração de projetos básicos e executivos de arquitetura e engenharia, planos e programas ambientais visando a minimização dos impactos ambientais do novo hospital. O detalhamento encontra-se no RDC 01/2019 deste Hospital.",Atendimento à Família Naval.,2020-01-20,2023-03-31,2021-06-22,Ampliação,Obra,Concluída,DF,,2023-03-31,COMANDO DA MARINHA,Militar,Saúde,Instituições Hospitalares Federais,Federal,27792850.24
19176.53-10,Caminho das Escolas - Ponte Alta (Gama),,"Pavimentação de rodovias distritais, estradas vicinais e/ou vias locais com consequente melhoria de vida para a população local.","Estudantes, professores, servidores das escolas rurais, bem como produtores localizados próximos às rodovias (distritais, estradas vicinais e vias locais) beneficiadas na região do Gama.. Eliminar poeira oriunda do período de seca e muito prejudicial à saúde das pessoas e eliminar risco de acidentes em épocas de chuva por causa de atoleiros, água empossada com a pavimentação de acessos às escolas rurais (rodovias distritais, estradas vicinais e vias locais). Melhoria no desenvolvimento social, facilitando o acesso à educação e econômico desses locais, tem em vista a garantia de escoamento dos produtos agrícolas em todas as épocas do ano.",2022-12-30,2026-12-30,2023-01-10,Construção,Obra,Cadastrada,DF,False,2023-01-10,DEPARTAMENTO DE ESTRADAS DE RODAGEM DO DISTRITO FEDERAL,Econômico,Infraestrutura Urbana e Mobilidade,Pavimentação,Federal,2870210.0
4539.53-84,202111-22-Ronald 1,70067-901,2021122-Ronald - Descrição do Projeto,2021122-Ronald - Descrição Funç]ap Social,2021-12-10,2021-12-10,2021-11-17,Reforma,Projeto de Investimento em Infraestrutura,Cadastrada,DF,,2021-11-17,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,Social,Desenvolvimento,Saneamento,Federal,100000000.0
20285.53-58,Substituição parcial dos brises do Colégio Militar de Brasília em Brasília-DF,70.790-020,Substituição parcial dos brises do Colégio Militar de Brasília em Brasília-DF,Substituição parcial dos brises do Colégio Militar de Brasília em Brasília-DF,2023-03-02,2024-03-01,2023-03-01,Recuperação,Obra,Inativada,DF,False,2023-03-01,COMANDO DO EXÉRCITO,Administrativo,Administrativo,Obras em Imóveis de Uso Público,Federal,769000.0
44078.53-10,CPAC - Elaboração de projetos  para as instalações de recepção e preparação de amostras,73.310-970,Elaboração de projetos básicos e executivos de engenharia e arquitetura para a reforma e construção das instalações de recepção e preparação de amostras na Embrapa Cerrados,"Viabilizar soluções de pesquisa, desenvolvimento e inovação para a sustentabilidade da agricultura, em benefício da sociedade brasileira.",2024-11-01,2025-05-26,2024-10-21,Reforma,Projeto,Concluída,DF,False,2025-06-20,EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA,Administrativo,Administrativo,Preservação do Patrimônio,Federal,49973.53
5584.53-19,"Adequação da DCEM, 3º piso, Bloco D, QGEx do Setor Militar Urbano, na cidade de Brasília/DF",,"Adequação da DCEM, 3º piso, Bloco D, QGEx do Setor Militar Urbano, na cidade de Brasília/DF","A necessidade de adequação do pavimento ocupado pela DCEM justifica-se pelas
instalações físicas serem antigas, desatualizadas, resultado de reformas pontuais,
executadas na Diretoria ao longo dos anos, e que por falta de uniformidade podem vir
a comprometer a segurança, a economia, e a integral utilização da edificação.
Nesse contexto, esse estudo visa atender à necessidade de atualização das
instalações sanitárias elétricas, de incêndio, de condicionamento de ar, dentre outras
disciplinas, bem como de adequar o espaço da Diretoria ao pleno funcionamento das
seções que a compõe e seu crescente número de servidores, dentre civis e militares
do DCEM, 3º Piso, Bloco D, QGex do Setor Militar Urbano, na cidade de Brasília/DF.",2022-02-14,2023-11-06,2022-02-01,Construção,Obra,Concluída,DF,,2023-11-06,COMANDO DO EXÉRCITO,Administrativo,Administrativo,Obras em Imóveis de Uso Público,Federal,8691308.0
51946.53-11,CONSTRUÇÃO DO 2º BATALHÃO DE POLÍCIA MILITAR DO DISTRITO FEDERAL,72.130-049,CONSTRUÇÃO DO 2º BATALHÃO DE POLÍCIA MILITAR DO DISTRITO FEDERAL.,SEGURANÇA PÚBLICA,2025-03-12,2025-12-31,2025-03-12,Construção,Obra,Cadastrada,DF,False,2025-03-12,Polícia Militar do Distrito Federal,Administrativo,Segurança Pública,Obras em Imóveis de Uso Público,Federal,51767.99
10835.53-80,CONSTRUÇÃO DA POLICLINICA DA PCDF,,Construção da nova Policlínica da Polícia Civil do Distrito Federal.,"Atualmente a Policlínica atende diretamente 3957 servidores da carreira policial e 191 servidores da carreira de apoio,
totalizando 4148 servidores, além de atendimento subsidiário a aproximadamente 420 servidores terceirizados. Não há previsão de atendimento à população em geral. O impacto indireto nos habitantes do Distrito Federal se dará
pela redução da taxa de absenteísmo dos policiais civis e, consequentemente,de uma melhor prestação de serviço(texto completo na Justificativa Completa).. A Policlínica da Polícia Civil do Distrito Federal foi originalmente concebida com ênfase na atividade pericial.
No entanto, atua intensamente na assistência ao policial civil não só no atendimento médico e pericial, como também nos serviços de psicologia, odontologia, assistência social, fisioterapia e reabilitação física. Funciona atualmente em uma antiga delegacia, que fora reformada para abrigar suas instalações(texto completo na Justificativa Completa).. A nova sede da Policlínica da Polícia Civil do Distrito Federal é um anseio dos servidores policiais que
aguardam há muito tempo um espaço adequado para receber uma atenção à saúde de forma rápida, confortável e eficaz.
Espera-se com a nova sede, que todos os processos e atendimentos desenvolvidos atualmente sejam otimizados e que novos atendimentos sejam realizados. Espera-se que a localização da nova sede seja mais acessível aos policiais(texto completo na Justificativa Completa).",2022-12-19,2027-12-16,2022-10-20,Construção,Obra,Cadastrada,DF,True,2022-10-20,POLICIA CIVIL DO DISTRITO FEDERAL,Administrativo,Segurança Pública,Obras em Imóveis de Uso Público,Federal,39717442.17
228.53-10,Reforma UOP Planaltina,1,"Contratação de empresa especializada para prestação de serviço de engenharia, para reforma do imóvel onde funciona a 2ª Delegacia da PRF/DF - Planaltina, localizada na BR-020, Km 37.","Melhorar o ambiente de trabalho dos servidores e proporcionar mais conforto ao usuário, promovendo a segurança viária da região, bem como a fiscalização das vias e prevenção de acidentes.",2021-03-15,2021-04-15,2021-02-23,Reforma,Obra,Inativada,DF,,2021-02-23,SUPERINTENDENCIA DA POLICIA RODOVIÁRIA FEDERAL NO DISTRITO FEDERAL,Administrativo,Segurança Pública,Obras em Imóveis de Uso Público,Federal,93543.62
440.53-82,CONSTRUÇÃO DE NOVA SEDE DO INSTITUTO MÉDICO LEGAL,1,CONSTRUÇÃO DE SEDE DO IML/PCDF,AUXÍLIAR NO TRABALHO TÉCNICO/INVESTIGATIVO DA PCDF.,2021-03-31,2022-06-30,2021-03-19,Construção,Obra,Cadastrada,DF,,2021-03-19,POLICIA CIVIL DO DISTRITO FEDERAL,Administrativo,Segurança Pública,Obras em Imóveis de Uso Público,Federal,1.0
21751.53-90,obra de reforma do Teatro Helena Barcelos,,"Reforma do Teatro Helena Barcelos, localizado no prédio Oficinas Especiais, no Setor Centro do Campus Universitário Darcy Ribeiro, da Universidade de Brasília, em Brasília/D","A necessidade em tela decorre de demanda formulada pelo Instituto de Artes com histórico descrito no documento SEI N. 5787223, constante nos autos do processo N. 23106.097036/2020-77.

O Teatro é espaço didático necessário ao ensino de Artes Cênicas em sua plenitude e é também espaço cultural que permite atender a comunidade. A reivindicação pela adequação do espaço é antiga, pois o espaço carece de infraestrutura necessária para seu efetivo funcionamento e está desativado há anos.

O espaço, localizado dentro do prédio Oficinas Especiais, apresenta muitos problemas de infiltração, mofo, banheiros deteriorados, os mecanismos de movimentação do palco e das varas cênicas não funcionam, a iluminação é insuficiente, não há tratamento acústico, as instalações existentes são insuficientes para a necessidade, entre outros.

Sendo assim, o teatro requer o redimensionamento das instalações elétricas, eletrônicas, hidrossanitárias, PCI, reforço estrutural, climatização, tratamento acústico, adequações na arquitetura para que o espaço seja seguro, acessível e compatível com a concentração de público. Faz-se necessário a criação de infraestrutura cênica para retomar o uso do espaço.

Em 2019 foi feita contratação de obra para as adequações de segurança contra incêndio e pânico, mas a obra não foi concluída.

Sendo assim, para suprir por completo as necessidades espaciais e de segurança, o escopo da contratação tratada neste documento abarcará na reforma do Teatro as adequações para regularização do prédio Oficinas Especiais junto ao Corpo de Bombeiros Militar- CBMDF.",2023-05-22,2023-11-22,2023-05-08,Reforma,Obra,Cadastrada,DF,False,2023-05-08,FUNDACAO UNIVERSIDADE DE BRASILIA,Social,Educação,Educação,Federal,3891249.91
19979.53-65,"Escadas Externas de Emergência do Bloco ""U"" da Esplanada dos Ministérios, Brasília/DF",70.065-900,"Obra de construção das Duas Escadas Externas de Emergência do Bloco “U” da Esplanada dos Ministérios, em Brasília – DF,","A construção das Duas Escadas Externas de Emergência, do Bloco “U” da Esplanada dos Ministérios, em Brasília/DF,  objetiva atender a necessidade de dotar a edificação de mais segurança contra incêndios e atender notificações do Corpo de Bombeiro Militar do Distrito Federal e da Secretária de Estado de Defesa Civil do Distrito Federal, quando da realização de vistorias de rotinas no prédio, uma vez que as escadas internas de segurança enclausuradas existentes no edifício  não atendem mais as exigências da legislação;

Desta forma,  a edificação será dotada de duas rotas de fuga, seguras, externamente para evacuação dos habitantes, quando da ocorrência de um incêndio ou princípio de incêndio (com presença de fumaça), conforme existentes nos demais edifícios sediados na Esplanada  dos Ministérios.

Assim, deverão ser edificadas, de conformidade com a Norma Técnica n° 010/2015 - CBMDF - Saídas de Emergência, que tem por objetivo estabelecer os requisitos necessários ao dimensionamento das saídas de emergência, a fim de garantir o abandono seguro da edificação pela população, em situação de incêndio ou pânico, e da mesma forma permitir o acesso aos bombeiros para as ações de combate a incêndio e salvamento, atendendo ao previsto no Regulamento de Segurança Contra Incêndio e Pânico do Distrito Federal (RSIP-DF), aprovado pelo Decreto nº 21.361, de 20 de julho de 2000.",2023-04-03,2023-11-03,2023-02-07,Construção,Obra,Cadastrada,DF,False,2023-02-07,MINISTÉRIO DE MINAS E ENERGIA,Administrativo,Administrativo,Obras em Imóveis de Uso Público,Federal,7500000.0
20766.53-40,Instalação de Backbones optícos.,70.610-200,"Contratação dos serviços de instalação de backbones ópticos na Agência Nacional das Águas e Saneamento Básico. Temos diversos links de fibra óptica que interligam os edifícios do complexo. Dentre estas cone-xões tem-se uma conexão entre o datacenter e os blocos N e O, além da guarita 02, estes links não estão em perfeito funcionamento, operando em condições precárias e afetando o desem-penho da rede, após análise da equipe técnica verificou-se a necessidade de substituição destes links, principalmente pelo fato da implantação do sistema de telefonia VOIP.",Fornecer condições de infraestrutuara para o regular funcionamento da ANA.,2023-04-17,2023-05-17,2023-03-27,Construção,Obra,Cadastrada,DF,False,2023-03-27,AGENCIA NACIONAL DE AGUAS,Administrativo,Administrativo,Obras em Imóveis de Uso Público,Federal,29653.0
42911.53-47,Empório Brazlândia,,Apoio à execução de obras e serviços de engenharia para o fomento aos setores agropecuários e de agroindústria.,"De maneira direta, serão beneficiados os produtores da agricultura familiar de Alexandre Gusmão com 315 produtores e área plantada de 275,06 hectares e  308 produtores nos demais Núcleos Rurais de Brazlândia com área plantada total de 480,05 hectares.. Construir um galpão para fornecer local de trabalho adequado para as atividades comerciais dos produtores da agricultura familiar da região, assim como fornecer boxes para os comerciantes que foram notificados pelo DNIT da remoção de seus pontos de comercialização da área adjacente da BR-080.. Esse espaço irá otimizar a logística operacional, melhorando a qualidade dos produtos a serem comercializados, e por consequência contribuindo para o desenvolvimento da região e aumento da qualidade de vida dos produtores daquela localidade",2024-10-16,2026-10-16,2024-09-05,Construção,Obra,Cadastrada,DF,False,2024-09-05,"SECRETARIA DE ESTADO DA AGRICULTURA, ABASTECIMENTO E DESENVOLVIMENTO RURAL DO DISTRITO FEDERAL",Social,Infraestrutura Urbana e Mobilidade,Urbanização,Federal,1500000.0
20084.53-55,REFORMA DA 9ª DELEGACIA DE POLÍCIA DA POLÍCIA CIVIL DO DISTRITO FEDERAL,71.503-507,"A Polícia Civil do Distrito Federal - PCDF, instituição essencial à função jurisdicional, tem como missão institucional promover, integrada às instituições congêneres, a segurança pública, visando à preservação da ordem pública e à incolumidade das pessoas, por meio da apuração de delitos, da elaboração de procedimentos formais destinados à ação penal e da adoção de ações técnico-policiais, com a preservação dos direitos e garantias individuais.

Para realização direta ou indireta desses objetivos, a PCDF desempenha atividades operacionais e administrativas, valendo-se do suporte físico de edificações, as quais apresentam, portanto, um valor social fundamental.

A sede da 9ª Delegacia de Polícia Civil, localizada no Lago Norte, foi erguida no ano de 1983, não tendo sofrido intervenções significativas ao longo do tempo. Sua estrutura não mais atende às necessidades atuais da corporação, já que a concepção da edificação está em desacordo com as novas funcionalidades e com a dinâmica de trabalho atuais da Polícia Civil. Além do mais, as instalações físicas encontram-se desgastadas e obsoletas em razão da idade da edificação.

Diante desse cenário, e considerando que a construção de uma nova sede teria um custo elevado, optou-se por realizar uma reforma completa da unidade, contemplando ampliação de área. Com essa solução será possível adequar a unidade às necessidades atuais da corporação com o despendimento menos recursos, já que a estrutura da edificação encontra-se em bom estado de conservação.","A Polícia Civil do Distrito Federal - PCDF, instituição essencial à função jurisdicional, tem como missão institucional promover, integrada às instituições congêneres, a segurança pública, visando à preservação da ordem pública e à incolumidade das pessoas, por meio da apuração de delitos, da elaboração de procedimentos formais destinados à ação penal e da adoção de ações técnico-policiais, com a preservação dos direitos e garantias individuais.",2023-02-10,2023-12-31,2023-02-10,Reforma,Obra,Cadastrada,DF,False,2023-02-10,POLICIA CIVIL DO DISTRITO FEDERAL,Administrativo,Segurança Pública,Obras em Imóveis de Uso Público,Federal,4682173.01
51464.53-72,Implantação de infraestrutura de apoio às atividades produtivas - Sede em 2025,,Fortalecer as atividades produtivas por meio de investimentos que promovam eficazmente a dinamização das economias locais.,Implantar infraestruturas de apoio às atividades produtivas para promoção do desenvolvimento regional.,2025-01-01,2025-12-31,2025-02-04,Construção,Obra,Inativada,DF,,2025-02-04,COMPANHIA DE DESENVOLVIMENTO DOS VALES DO SÃO FRANCISCO E DO PARNAÍBA,Social,Agricultura e Organização Agrária,Aquisição de Máquinas e Equipamentos,Federal,0.01
21905.53-36,Aquisição de equipamento 01 retroescavadeira,,Aquisição de equipamento 01 retroescavadeira,Produtores Rurais e População da região.. Manutenção do sistema viário rural do Distrito Federal.. Agilidade na execução dos serviços de recuperação de estradas rurais.,2023-05-12,2024-05-12,2023-05-12,Recuperação,Obra,Cadastrada,DF,False,2023-05-12,DEPARTAMENTO DE ESTRADAS DE RODAGEM DO DISTRITO FEDERAL,Econômico,Rodovia,Aquisição de Máquinas e Equipamentos,Federal,750000.0
74141.53-91,PAC 2 - CRECHE/PRÉ-ESCOLA 001,,PAC 2 - CRECHE/PRÉ-ESCOLA 001 Tipo de Obra,PAC 2 - CRECHE/PRÉ-ESCOLA 001,2013-04-08,2014-09-21,2025-07-25,Reforma,Obra,Cadastrada,DF,False,2025-07-25,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,Econômico,"Infraestrutura Hídrica, Portos, Hidrovia","Dragagem, Derrocamento e Associações",Federal,0.01
